,b'# time (seconds) ',b'strain * 1.e21'
750,0.29582616443750004,-0.053995659637008885
751,0.29588719959375004,-0.05558864820465022
752,0.29594823475000004,-0.05714729163059316
753,0.29600926990625004,-0.05867249513467305
754,0.29607030506250004,-0.06016520852878502
755,0.29613134021875004,-0.061626460698981145
756,0.29619237537500004,-0.06305739692316122
757,0.29625341053125004,-0.06445931310786318
758,0.29631444568750004,-0.06583368141134327
759,0.29637548084375004,-0.06718216290442157
760,0.29643651600000004,-0.06850660473110842
761,0.29649755115625004,-0.06980902140103677
762,0.29655858631250004,-0.07109156205542974
763,0.29661962146875004,-0.07235646747230778
764,0.29668065662500004,-0.07360602193202839
765,0.29674169178125004,-0.07484250565264573
766,0.29680272693750004,-0.07606815324142002
767,0.29686376209375004,-0.0772851225359042
768,0.29692479725000004,-0.07849547648739386
769,0.29698583240625004,-0.07970117862929134
770,0.29704686756250004,-0.08090410048916637
771,0.29710790271875004,-0.08210603737306427
772,0.29716893787500004,-0.08330872756349442
773,0.29722997303125004,-0.08451386933765095
774,0.29729100818750004,-0.08572313042733028
775,0.29735204334375004,-0.08693814557820326
776,0.29741307850000004,-0.08816049957309686
777,0.29747411365625004,-0.08939169521152418
778,0.29753514881250004,-0.09063310797290372
779,0.29759618396875004,-0.0918859311043475
780,0.29765721912500004,-0.09315111636851453
781,0.29771825428125004,-0.09442931644213573
782,0.29777928943750004,-0.09572083485976424
783,0.29784032459375004,-0.09702558846407315
784,0.29790135975000004,-0.09834308569115782
785,0.29796239490625004,-0.0996724219275947
786,0.29802343006250004,-0.10101229093384377
787,0.29808446521875004,-0.1023610092662565
788,0.29814550037500004,-0.10371654905077674
789,0.29820653553125004,-0.1050765735967578
790,0.29826757068750004,-0.10643847031432017
791,0.29832860584375004,-0.10779937621372666
792,0.29838964100000004,-0.10915619279590691
793,0.29845067615625004,-0.11050558915868673
794,0.29851171131250004,-0.1118439943404782
795,0.29857274646875004,-0.11316758197191758
796,0.29863378162500004,-0.11447225189769873
797,0.29869481678125004,-0.11575361432467476
798,0.29875585193750004,-0.1170069821105311
799,0.29881688709375004,-0.11822737601613093
800,0.29887792225000004,-0.11940954621611001
801,0.29893895740625004,-0.12054801131805988
802,0.29899999256250004,-0.12163711387896294
803,0.29906102771875004,-0.1226710892593377
804,0.29912206287500004,-0.12364414293534559
805,0.29918309803125004,-0.12455053034847577
806,0.29924413318750004,-0.1253846331627713
807,0.29930516834375004,-0.12614102644965494
808,0.29936620350000004,-0.12681453273212703
809,0.29942723865625004,-0.12740026078296043
810,0.29948827381250004,-0.12789362929383133
811,0.29954930896875004,-0.12829037768443582
812,0.29961034412500004,-0.12858656808377228
813,0.29967137928125004,-0.12877858362924846
814,0.29973241443750004,-0.12886312852919185
815,0.29979344959375004,-0.12883723477785702
816,0.29985448475000004,-0.12869827908376621
817,0.29991551990625004,-0.12844401167169564
818,0.29997655506250004,-0.12807259643074895
819,0.30003759021875004,-0.12758265973377508
820,0.30009862537500004,-0.12697334346940928
821,0.30015966053125004,-0.1262443566764502
822,0.30022069568750004,-0.1253960198269955
823,0.30028173084375004,-0.12442929632615696
824,0.30034276600000004,-0.12334580711075688
825,0.30040380115625004,-0.12214782614821967
826,0.30046483631250004,-0.12083825688143547
827,0.30052587146875004,-0.11942059190881883
828,0.30058690662500004,-0.11789886010426787
829,0.30064794178125004,-0.1162775666907176
830,0.30070897693750004,-0.11456163229455489
831,0.30077001209375004,-0.11275633665495964
832,0.30083104725000004,-0.11086727149898491
833,0.30089208240625004,-0.10890030529633031
834,0.30095311756250004,-0.10686156044727863
835,0.30101415271875004,-0.10475740125664704
836,0.30107518787500004,-0.10259442913493809
837,0.30113622303125004,-0.10037948013098939
838,0.30119725818750004,-0.09811961933853605
839,0.30125829334375004,-0.09582212701709317
840,0.30131932850000004,-0.09349447238233308
841,0.30138036365625004,-0.09114427278794347
842,0.30144139881250004,-0.0887792381778248
843,0.30150243396875004,-0.08640710291395544
844,0.30156346912500004,-0.08403554904991385
845,0.30162450428125004,-0.08167212652961735
846,0.30168553943750004,-0.07932417643373008
847,0.30174657459375004,-0.07699876317388701
848,0.30180760975000004,-0.07470262047662049
849,0.30186864490625004,-0.07244211425744622
850,0.30192968006250004,-0.07022322331470912
851,0.30199071521875004,-0.06805153648973707
852,0.30205175037500004,-0.06593226287835574
853,0.30211278553125004,-0.06387025013978935
854,0.30217382068750004,-0.061870005155917805
855,0.30223485584375004,-0.059935711359820114
856,0.30229589100000004,-0.058071237963318756
857,0.30235692615625004,-0.056280137929595894
858,0.30241796131250004,-0.05456563361516195
859,0.30247899646875004,-0.05293059123351841
860,0.30254003162500004,-0.0513774873367148
861,0.30260106678125004,-0.04990837206410885
862,0.30266210193750004,-0.04852483473642519
863,0.30272313709375004,-0.04722797735176804
864,0.30278417225000004,-0.046018400669041365
865,0.30284520740625004,-0.04489620597012223
866,0.30290624256250004,-0.04386101350962194
867,0.30296727771875004,-0.04291199639759651
868,0.30302831287500004,-0.04204792655099435
869,0.30308934803125004,-0.041267227706620224
870,0.30315038318750004,-0.04056802955605448
871,0.30321141834375004,-0.03994821698064635
872,0.30327245350000004,-0.039405469146269904
873,0.30333348865625004,-0.03893728474926178
874,0.30339452381250004,-0.03854099176229328
875,0.30345555896875004,-0.03821374230967233
876,0.30351659412500004,-0.037952495470621406
877,0.30357762928125004,-0.03775399254799236
878,0.30363866443750004,-0.03761473039404847
879,0.30369969959375004,-0.03753093860126706
880,0.30376073475000004,-0.037498565715677015
881,0.30382176990625004,-0.03751327821258232
882,0.30388280506250004,-0.03757047400285748
883,0.30394384021875004,-0.037665310007641305
884,0.30400487537500004,-0.03779274118378237
885,0.30406591053125004,-0.03794756662421173
886,0.30412694568750004,-0.038124477259914386
887,0.30418798084375004,-0.03831809941861838
888,0.30424901600000004,-0.03852302909230225
889,0.30431005115625004,-0.03873385314466322
890,0.30437108631250004,-0.038945155647968625
891,0.30443212146875004,-0.03915150978708102
892,0.30449315662500004,-0.03934745797420075
893,0.30455419178125004,-0.03952748465404568
894,0.30461522693750004,-0.03968598747300785
895,0.30467626209375004,-0.03981725285913952
896,0.30473729725000004,-0.03991544155554724
897,0.30479833240625004,-0.03997458834042397
898,0.30485936756250004,-0.03998861824394956
899,0.30492040271875004,-0.03995137931768472
900,0.30498143787500004,-0.03985668975680816
901,0.30504247303125004,-0.039698395250447736
902,0.30510350818750004,-0.039470431122214995
903,0.30516454334375004,-0.039166883312850065
904,0.30522557850000004,-0.038782042621548656
905,0.30528661365625004,-0.03831044780428057
906,0.30534764881250004,-0.03774691494730536
907,0.30540868396875004,-0.03708655271863168
908,0.30546971912500004,-0.0363247653218074
909,0.30553075428125004,-0.03545724690216934
910,0.30559178943750004,-0.0344799724964685
911,0.30565282459375004,-0.033389191170451034
912,0.30571385975000004,-0.032181426670218234
913,0.30577489490625004,-0.03085348976638642
914,0.30583593006250004,-0.029402504662728902
915,0.30589696521875004,-0.02782594963903893
916,0.30595800037500004,-0.026121709826419977
917,0.30601903553125004,-0.024288138008062045
918,0.30608007068750004,-0.02232411789698359
919,0.30614110584375004,-0.020229123678552913
920,0.30620214100000004,-0.018003269819580548
921,0.30626317615625004,-0.015647346207682315
922,0.30632421131250004,-0.013162835439649405
923,0.30638524646875004,-0.010551911268714007
924,0.30644628162500004,-0.007817419526669572
925,0.30650731678125004,-0.0049628449199512975
