,b'# time (seconds) ',b'strain * 1.e21'
0,0.25004979725000004,4.355781502546114e-22
1,0.25011083240625004,4.333875555521366e-22
2,0.25017186756250004,4.311389480600269e-22
3,0.25023290271875004,4.288325946932946e-22
4,0.25029393787500004,4.264687702213452e-22
5,0.25035497303125004,4.24047757239627e-22
6,0.25041600818750004,4.2156984614024507e-22
7,0.25047704334375004,4.19035335081417e-22
8,0.25053807850000004,4.1644452995596865e-22
9,0.25059911365625004,4.137977443586414e-22
10,0.25066014881250004,4.1109529955247507e-22
11,0.25072118396875004,4.0833752443398256e-22
12,0.25078221912500004,4.0552475549740255e-22
13,0.25084325428125004,4.026573367978246e-22
14,0.25090428943750004,3.9973561991327434e-22
15,0.25096532459375004,3.967599639057555e-22
16,0.25102635975000004,3.9373073528122314e-22
17,0.25108739490625004,3.9064830794861306e-22
18,0.25114843006250004,3.8751306317769777e-22
19,0.25120946521875004,3.843253895559865e-22
20,0.25127050037500004,3.8108568294463315e-22
21,0.25133153553125004,3.7779434643326033e-22
22,0.25139257068750004,3.7445179029373223e-22
23,0.25145360584375004,3.710584319330349e-22
24,0.25151464100000004,3.676146958450141e-22
25,0.25157567615625004,3.641210135612119e-22
26,0.25163671131250004,3.605778236006545e-22
27,0.25169774646875004,3.5698557141863414e-22
28,0.25175878162500004,3.5334470935451366e-22
29,0.25181981678125004,3.49655696578601e-22
30,0.25188085193750004,3.459189990380376e-22
31,0.25194188709375004,3.4213508940159133e-22
32,0.25200292225000004,3.3830444700367033e-22
33,0.25206395740625004,3.344275577872837e-22
34,0.25212499256250004,3.305049142460067e-22
35,0.25218602771875004,3.265370153651308e-22
36,0.25224706287500004,3.2252436656160655e-22
37,0.25230809803125004,3.184674796235095e-22
38,0.25236913318750004,3.1436687264803113e-22
39,0.25243016834375004,3.102230699790086e-22
40,0.25249120350000004,3.0603660214325686e-22
41,0.25255223865625004,3.0180800578610174e-22
42,0.25261327381250004,2.975378236060323e-22
43,0.25267430896875004,2.932266042884465e-22
44,0.25273534412500004,2.888749024384377e-22
45,0.25279637928125004,2.8448327851280965e-22
46,0.25285741443750004,2.800522987511649e-22
47,0.25291844959375004,2.7558253510613642e-22
48,0.25297948475000004,2.710745651727894e-22
49,0.25304051990625004,2.665289721171876e-22
50,0.25310155506250004,2.6194634460400666e-22
51,0.25316259021875004,2.57327276723532e-22
52,0.25322362537500004,2.52672367917616e-22
53,0.25328466053125004,2.4798222290501883e-22
54,0.25334569568750004,2.432574516057038e-22
55,0.25340673084375004,2.3849866906463922e-22
56,0.25346776600000004,2.3370649537460285e-22
57,0.25352880115625004,2.2888155559823805e-22
58,0.25358983631250004,2.240244796894376e-22
59,0.25365087146875004,2.191359024138716e-22
60,0.25371190662500004,2.142164632687828e-22
61,0.25377294178125004,2.0926680640209933e-22
62,0.25383397693750004,2.042875805308261e-22
63,0.25389501209375004,1.9927943885855806e-22
64,0.25395604725000004,1.942430389925486e-22
65,0.25401708240625004,1.8917904285982133e-22
66,0.25407811756250004,1.8408811662270251e-22
67,0.25413915271875004,1.7897093059382756e-22
68,0.25420018787500004,1.7382815915014775e-22
69,0.25426122303125004,1.6866048064661745e-22
70,0.25432225818750004,1.6346857732893912e-22
71,0.25438329334375004,1.5825313524588038e-22
72,0.25444432850000004,1.530148441609731e-22
73,0.25450536365625004,1.4775439746340676e-22
74,0.25456639881250004,1.4247249207852286e-22
75,0.25462743396875004,1.3716982837757571e-22
76,0.25468846912500004,1.3184711008703525e-22
77,0.25474950428125004,1.2650504419719051e-22
78,0.25481053943750004,1.2114434087035115e-22
79,0.25487157459375004,1.1576571334829216e-22
80,0.25493260975000004,1.1036987785932754e-22
81,0.25499364490625004,1.0495755352494707e-22
82,0.25505468006250004,9.952946226552344e-23
83,0.25511571521875004,9.408632870614984e-23
84,0.25517675037500004,8.862888008135158e-23
85,0.25523778553125004,8.315784613975376e-23
86,0.25529882068750004,7.767395904815894e-23
87,0.25535985584375004,7.21779532951531e-23
88,0.25542089100000004,6.667056559416419e-23
89,0.25548192615625004,6.115253478634187e-23
90,0.25554296131250004,5.562460174288224e-23
91,0.25560399646875004,5.0087509266868904e-23
92,0.25566503162500004,4.4542001994899886e-23
93,0.25572606678125004,3.898882629819585e-23
94,0.25578710193750004,3.3428730183452323e-23
95,0.25584813709375004,2.786246319323232e-23
96,0.25590917225000004,2.2290776306019877e-23
97,0.25597020740625004,1.6714421836254536e-23
98,0.25603124256250004,1.113415333348186e-23
99,0.25609227771875004,5.550725481694154e-24
100,0.25615331287500004,-3.510600172348213e-26
101,0.25621434803125004,-5.6225844675520695e-24
102,0.25627538318750004,-1.1210952436243908e-23
103,0.25633641834375004,-1.6799451699905827e-23
104,0.25639745350000004,-2.2387323424399608e-23
105,0.25645848865625004,-2.797380825159394e-23
106,0.25651952381250004,-3.355814640210156e-23
107,0.25658055896875004,-3.913957777792965e-23
108,0.25664159412500004,-4.4717342065282165e-23
109,0.25670262928125004,-5.029067883795557e-23
110,0.25676366443750004,-5.585882766032161e-23
111,0.25682469959375004,-6.14210281909504e-23
112,0.25688573475000004,-6.697652028598377e-23
113,0.25694676990625004,-7.252454410271373e-23
114,0.25700780506250004,-7.806434020360125e-23
115,0.25706884021875004,-8.359514965974164e-23
116,0.25712987537500004,-8.911621415483089e-23
117,0.25719091053125004,-9.462677608930539e-23
118,0.25725194568750004,-1.0012607868407775e-22
119,0.25731298084375004,-1.0561336608454774e-22
120,0.25737401600000004,-1.110878834648107e-22
121,0.25743505115625004,-1.1654887713138273e-22
